The table below lists the Kanji (Japanese ideographic characters) that are
built into the GNU libplot library and the GNU plotting utilities based on
it, such as `graph'.  For each Kanji, the table lists its index according
to three different numbering schemes, and one or more possible meanings.

In all, 603 Kanji are available.  They include 596 of the 2965 Level 1
(i.e., frequently used) Kanji, and seven additional Level 2 Kanji.  The
603 Kanji were digitized by Dr. Allen V. Hershey of the U.S. Naval Surface
Weapons Center (Dahlgren, VA) in the mid-1960s.  They include many Kanji
used in scientific writing.  For an explanation of how the 603 were chosen,
see his technical report "Calligraphy for Computers".  (Available from the
U.S. National Technical Information Service at +1 703 487 4650; ask for
item number AD662398.)

These Kanji are part of the HersheyEUC font, which is employed for drawing
multibyte Japanese text strings.  But you may also use these Kanji while
drawing text strings in any other Hershey font, by inserting the
appropriate escape sequences.  For example, you may use Kanji to label the
axes of a graph prepared with `graph'.

The first column of the table lists the hexadecimal index of each Kanji in
the 2-byte encoding specified by the JIS X0208 standard, and the second
column lists its index in the 2-byte Unicode encoding.  For information on
the JIS X0208 standard, see Ken Lunde's "Understanding Japanese Information
Processing" (O'Reilly, 1993), or his on-line supplement,
http://www.ora.com/people/authors/lunde/cjk_inf.html .

Once you know the hexadecimal JIS code for a Kanji, you may use it when
drawing a text string in any of the non-Japanese Hershey fonts built into
GNU libplot and GNU `graph'.  For example, Kanji J3021 would be specified,
when drawing a text string in any non-Japanese Hershey font, by the escape
sequence "\#J3021".  Four hexadecimal digits are needed after the "\#J".
They may be in upper or lower case; e.g. "\#J6D55" is equivalent to
"\#J6d55".  If you are using the HersheyEUC font for multibyte encoding of
Japanese, you would encode Kanji J3021 as, instead, the pair of successive
bytes `0xb0' and `0xa1'.  That is because 0x80 + 0x30 = 0xb0 
and 0x80 + 0x21 = 0xa1.

The third column lists the index of each Kanji, in decimal, as specified in
the "Modern Reader's Japanese-English Character Dictionary", edited by
A. N. Nelson. (C. E. Tuttle and Co., 1962, available as ISBN 0-8048-0408-7
for approximately US$50; a revised edition [ISBN 0-8048-2036-8] appeared in
1997, but uses a different numbering.)  GNU libplot supports the
specification of Kanji by decimal `Nelson index', as well as by hexadecimal
JIS code.  As you can see from the table, Kanji N0001 is equivalent to
Kanji J306c.  This Kanji could be specified, when drawing a text string in
any non-Japanese Hershey font, by the escape sequence "\#N0001", as well as
by the escape sequence "\#J306c".  Four decimal digits are required.

The table was constructed with the aid of the KANJIDIC file prepared by Jim
Breen <jwb@dgs.monash.edu.au>.  The KANJIDIC file is a text file that
contains comprehensive information about each Japanese Kanji, with one line
for each Kanji listed in the JIS X0208 standard.  Correspondences to other
numberings (Unicode, Nelson, etc.) are given.  The KANJIDIC file is
available at ftp://ftp.monash.edu.au/pub/nihongo/kanjidic.gz , and
documentation on its format is available at
ftp://ftp.monash.edu.au/pub/nihongo/kanjidic.doc .


Level 1 Kanji (total number: 596)
---------------------------------

JIS	Unicode	Nelson		Meaning(s)
---	------	------		----------

J4226	U5074	N0509	 {side} {lean} {oppose} {regret}
J422b	U675f	N0196	 {bundle} {sheaf} {ream} {tie in bundles} {govern} {manage} {control}
J422c	U6e2c	N2632	 {fathom} {plan} {scheme} {measure}
J422d	U8db3	N4546	 {leg} {foot} {be sufficient}
J422e	U901f	N4700	 {quick} {fast}
J4233	U7d9a	N3544	 {continue} {series} {sequel}
J4236	U5176	N0590	 {that}
J4238	U5b58	N1267	 {suppose} {be aware of} {believe} {feel}
J423e	U4ed6	N0361	 {other} {another} {the others}
J423f	U591a	N1169	 {many} {frequent} {much}
J4240	U592a	N1172	 {plump} {thick} {big around}
J424a	U6955	N2313	 {ellipse}
J424e	U4f53	N0405	 {body} {substance} {object} {reality}
J4250	U5bfe	N2067	 {vis-a-vis} {opposite} {even} {equal} {versus} {anti-} {compare}
J4256	U614b	N1743	 {attitude} {condition} {figure} {appearance} {voice (of verbs)}
J4265	U4ee3	N0364	 {substitute} {change} {convert} {replace} {period} {age} {generation} {charge} {rate} {fee}
J4267	U5927	N1171	 {large} {big}
J4268	U7b2c	N3385	 {No.} {residence}
J426a	U984c	N2164	 {topic} {subject}
J426c	U6edd	N2655	 {waterfall} {rapids} {cascade}
J4274	U6ca2	N2503	 {swamp}
J4323	U9054	N4721	 {accomplished} {reach} {arrive} {attain}
J432b	U8c37	N4458	 {valley}
J432f	U8ab0	N4384	 {who} {someone} {somebody}
J4331	U5358	N0139	 {simple} {one} {single} {merely}
J433a	U70ad	N1418	 {charcoal} {coal}
J433b	U77ed	N3172	 {short} {brevity} {fault} {defect} {weak point}
J4346	U5f3e	N1575	 {bullet} {twang} {flip} {snap}
J434b	U7537	N2996	 {male}
J434d	U5024	N0488	 {price} {cost} {value}
J434e	U77e5	N3169	 {know} {wisdom}
J434f	U5730	N1056	 {ground} {earth}
J4356	U7f6e	N3644	 {placement} {put} {set} {deposit} {leave behind} {keep} {employ} {pawn}
J4359	U9045	N4722	 {slow} {late} {back} {later}
J435d	U7af9	N3366	 {bamboo}
J4362	U7a92	N3325	 {plug up} {obstruct}
J4363	U8336	N3940	 {tea}
J4365	U7740	N3665	 {don} {arrive} {wear} {counter for suits of clothing}
J4366	U4e2d	N0081	 {in} {inside} {middle} {mean} {center}
J4368	U5b99	N1291	 {mid-air} {air} {space} {sky} {memorization} {interval of time}
J436b	U663c	N0053	 {daytime} {noon}
J436c	U67f1	N2236	 {pillar} {post} {cylinder} {support}
J436e	U866b	N4115	 {insect} {bug} {temper}
J442b	U671d	N3788	 {morning} {dynasty} {regime} {epoch} {period} {(North) Korea}
J442c	U6f6e	N2702	 {tide} {salt water} {opportunity}
J4436	U8d85	N4543	 {transcend} {super-} {ultra-}
J4439	U9577	N4938	 {long} {leader}
J443b	U9ce5	N5340	 {bird} {chicken}
J443e	U76f4	N0775	 {straightaway} {honesty} {frankness} {fix} {repair}
J444c	U901a	N4703	 {traffic} {pass through} {avenue} {commute}
J4463	U4f4e	N0406	 {lower} {short} {humble}
J446a	U5b9a	N1296	 {determine} {fix} {establish} {decide}
J446c	U5e95	N1508	 {bottom} {sole} {depth} {bottom price} {base} {kind} {sort}
J446d	U5ead	N1514	 {courtyard} {garden} {yard}
J4472	U633a	N1914	 {no. of guns} {tools} {candles} {oars} {palanquins} {rickshaws} {bravely volunteer}
J4478	U7a0b	N3285	 {extent} {degree} {law} {formula} {distance} {limits} {amount}
J4479	U7de0	N3581	 {tighten} {tie} {shut} {lock} {fasten}
J4526	U6458	N1987	 {pinch} {pick} {pluck} {trim} {clip} {summarize}
J452a	U7684	N3097	 {bull's eye} {mark} {target} {object} {adjective ending}
J452f	U54f2	N0931	 {philosophy} {clear}
J4534	U9244	N4844	 {iron}
J4535	U5178	N0588	 {code} {ceremony} {law} {rule}
J4537	U5929	N0016	 {heavens} {sky} {imperial}
J453e	U8ee2	N4615	 {revolve} {turn around} {change}
J4540	U70b9	N0804	 {spot} {point} {mark} {speck} {decimal point}
J4544	U7530	N2994	 {rice field} {rice paddy}
J4545	U96fb	N5050	 {electricity}
J454c	U5f92	N1614	 {junior} {emptiness} {vanity} {futility} {uselessness} {ephemeral thing} {gang} {set} {party} {people}
J4559	U5ea6	N1511	 {degrees} {occurrence} {time}
J455a	U571f	N1050	 {soil} {earth} {ground} {Turkey}
J455f	U51ac	N1161	 {winter}
J4561	U5200	N0665	 {sword} {saber} {knife}
J4563	U5854	N1109	 {pagoda} {tower} {steeple}
J4567	U5cf6	N0230	 {island}
J456c	U6771	N0213	 {east}
J4574	U706f	N2745	 {lamp} {a light} {light} {no. of lights}
J4576	U5f53	N1359	 {hit} {right} {appropriate} {himself}
J4579	U7b49	N3396	 {etc.} {and so forth} {class (1st)} {quality} {equal} {similar}
J4626	U8c46	N4465	 {beans} {pea} {midget}
J4630	U52d5	N0730	 {move} {motion} {change} {confusion} {shift} {shake}
J4631	U540c	N0619	 {same} {agree} {equal}
J4633	U5c0e	N1354	 {guidance} {leading} {conduct} {usher}
J463b	U9053	N4724	 {road-way} {street} {district} {journey} {course} {moral} {teachings}
J463c	U9285	N4853	 {copper}
J4643	U7279	N2860	 {special}
J4649	U8aad	N4375	 {read}
J465e	U66c7	N2160	 {cloudy weather} {cloud up}
J4662	U5185	N0082	 {inside} {within} {between} {among} {house} {home}
J466e	U5357	N0778	 {south}
J4671	U96e3	N5038	 {difficult} {impossible} {trouble} {accident} {defect}
J4673	U4e8c	N0273	 {two}
J4679	U8089	N3724	 {meat}
J467c	U65e5	N2097	 {day} {sun} {Japan}
J467e	U5165	N0574	 {enter} {insert}
J4721	U5982	N1189	 {likeness} {like} {such as} {as if} {better} {best} {equal}
J472e	U71b1	N2797	 {heat} {temperature} {fever} {mania} {passion}
J472f	U5e74	N0188	 {year}
J4733	U71c3	N2808	 {burn} {blaze} {glow}
J4734	U7c98	N3472	 {sticky} {glutinous} {greasy} {persevere}
J4748	U6ce2	N2529	 {waves} {billows} {Poland}
J474f	U99ac	N5191	 {horse}
J4769	U79e4	N3275	 {balances} {scales} {steelyard}
J4772	U767d	N3095	 {white}
J477e	U9ea6	N5385	 {barley} {wheat}
J4821	U51fd	N0049	 {box (archaic)}
J482c	U516b	N0577	 {eight}
J482f	U767a	N3092	 {discharge} {departure} {publish} {emit} {start from} {disclose}
J483e	U534a	N0132	 {half} {middle} {odd number} {semi-} {part-}
J483f	U53cd	N0817	 {anti-}
J4841	U5e06	N1469	 {sail}
J484c	U822c	N3865	 {carrier} {carry} {all}
J4856	U756a	N4811	 {turn} {number in a series}
J4860	U5f7c	N1604	 {he} {that} {the}
J4866	U6bd4	N2470	 {compare} {race} {ratio} {Phillipines}
J4869	U76ae	N3109	 {pelt} {skin} {hide} {leather}
J4873	U975e	N5080	 {un-} {mistake} {negative} {injustice} {non-}
J4874	U98db	N5152	 {fly} {skip (pages} {scatter}
J4878	U5c3e	N1383	 {tail} {end} {no. of fish} {lower slope of mtn}
J4879	U5fae	N1631	 {delicate} {minuteness} {insignificance}
J487e	U7f8e	N3658	 {beauty} {beautiful}
J4921	U9f3b	N5421	 {nose} {snout}
J492e	U7b46	N3397	 {writing brush} {writing} {painting brush} {handwriting}
J4934	U767e	N0033	 {hundred}
J4938	U6a19	N2359	 {signpost} {seal} {mark} {stamp} {imprint} {symbol} {emblem} {trademark} {evidence} {souvenir} {target}
J4939	U6c37	N0131	 {icicle} {ice} {hail} {freeze} {congeal}
J493d	U8868	N0108	 {surface} {table} {chart} {diagram}
J4942	U75c5	N3042	 {ill} {sick}
J4943	U79d2	N3271	 {second (1/60 minute)}
J494a	U54c1	N0923	 {goods} {refinement} {dignity} {article}
J4954	U4e0d	N0017	 {negative} {non-} {bad} {ugly} {clumsy}
J495b	U5e03	N1468	 {linen} {cloth}
J4963	U7236	N2832	 {father}
J4969	U8ca0	N4488	 {defeat} {negative} {-} {minus} {bear} {owe} {assume a responsibility}
J4977	U98a8	N5148	 {wind} {air} {style} {manner}
J497d	U5e45	N1484	 {hanging scroll} {width}
J4a23	U8907	N4255	 {duplicate} {double} {compound} {multiple}
J4a26	U5f17	N0173	 {dollar}
J4a2a	U7269	N2857	 {thing} {object} {matter}
J4a2c	U5206	N0578	 {part} {minute of time} {segment} {share} {degree} {one's lot} {duty} {understand} {know} {rate} {1%} {chances} {shaku/10}
J4a38	U6587	N2064	 {sentence} {literature} {style} {art} {decoration} {figures} {plan}
J4a39	U805e	N4959	 {hear} {ask} {listen}
J4a3f	U5e73	N0026	 {even} {flat} {peace}
J4a42	U4e26	N0589	 {row} {and} {besides} {as well as} {line up} {rank with} {rival} {equal}
J4a44	U9589	N4945	 {closed} {shut}
J4a46	U7c73	N3461	 {rice} {USA}
J4a50	U504f	N0511	 {partial} {side} {left-side radical} {inclining} {biased}
J4a51	U5909	N0306	 {unusual} {change} {strange}
J4a52	U7247	N2842	 {one-sided} {leaf} {sheet}
J4a55	U8fba	N4661	 {environs} {boundary} {border} {vicinity} {(kokuji)}
J4a6c	U6bcd	N2466	 {mama} {mother}
J4a7c	U653e	N2084	 {set free} {release} {fire} {shoot} {emit} {banish} {liberate}
J4a7d	U65b9	N2082	 {direction} {person} {alternative}
J4b21	U6cd5	N2535	 {method} {law} {rule} {principle} {model} {system}
J4b26	U80de	N3749	 {placenta} {sac} {sheath}
J4b4c	U5317	N0751	 {north}
J4b4f	U58a8	N5404	 {black ink} {India ink} {ink stick} {Mexico}
J4b5c	U672c	N0096	 {book} {present} {main} {true} {real} {no. of long things}
J4b63	U9ebb	N5390	 {hemp} {flax}
J4b68	U6bce	N2467	 {every}
J4b74	U53c8	N0855	 {or again} {furthermore} {on the other hand}
J4b7c	U4e07	N0007	 {ten thousand}
J4c23	U5473	N0913	 {flavor} {taste}
J4c24	U672a	N0179	 {un-} {not yet} {hitherto} {still} {even now}
J4c29	U5bc6	N1316	 {secrecy} {density (pop)} {minuteness} {carefulness}
J4c35	U7121	N2773	 {nothingness} {none} {ain't} {nothing} {nil} {not}
J4c37	U77db	N3164	 {halberd} {arms} {festival float}
J4c3e	U540d	N1170	 {name} {noted} {distinguished} {reputation}
J4c40	U660e	N2110	 {bright} {light}
J4c4c	U9762	N5087	 {mask} {face} {features} {surface}
J4c53	U6bdb	N2473	 {fur} {hair} {feather} {down}
J4c5a	U6728	N2170	 {tree} {wood}
J4c5c	U76ee	N3127	 {eye} {class} {look} {insight} {experience} {care} {favor}
J4c64	U554f	N4944	 {question} {ask} {problem}
J4c67	U9580	N4940	 {gates}
J4c6b	U591c	N0298	 {night} {evening}
J4c70	U77e2	N3168	 {dart} {arrow}
J4c72	U5f79	N1598	 {duty} {war} {campaign} {drafted labor} {office} {service} {role}
J4c74	U85ac	N4074	 {medicine} {chemical} {enamel} {gunpowder} {benefit}
J4c78	U67f3	N2233	 {willow}
J4c7d	U6cb9	N2534	 {oil} {fat}
J4d2d	U6709	N3727	 {possess} {have} {exist} {happen} {occur} {approx}
J4d30	U6d8c	N2565	 {boil} {ferment} {seethe} {uproar} {breed}
J4d3a	U96c4	N5030	 {masculine} {male} {hero} {leader} {superiority} {excellence}
J4d3c	U5915	N1167	 {evening}
J4d3e	U4f59	N0408	 {too much} {myself} {surplus} {other} {remainder}
J4d4f	U6eb6	N2659	 {melt} {dissolve} {thaw}
J4d51	U7528	N2993	 {utilize} {business} {service} {use} {employ}
J4d53	U7f8a	N3656	 {sheep}
J4d55	U8449	N4001	 {leaf} {plane} {lobe} {needle} {blade} {spear} {no. of flat things}
J4d57	U8981	N4274	 {need} {main point} {essence} {pivot} {key to}
J4d5b	U967d	N5012	 {sunshine} {yang principle} {positive} {male} {heaven} {daytime}
J4d63	U7ffc	N3680	 {wing} {plane} {flank}
J4d68	U6765	N0202	 {come} {due} {next} {cause} {become}
J4d6b	U96f7	N5049	 {thunder} {lightening bolt}
J4d70	U4e71	N3856	 {riot} {war} {disorder} {disturb}
J4d71	U5375	N0199	 {egg} {ovum} {spawn} {roe}
J4d72	U5d50	N1431	 {storm} {tempest}
J4d78	U5229	N3264	 {profit} {advantage} {benefit}
J4d7d	U7406	N2942	 {logic} {arrangement} {reason} {justice} {truth}
J4e24	U91cc	N4813	 {ri} {village} {parent's home} {league}
J4e25	U96e2	N5040	 {detach} {separation} {disjoin} {digress}
J4e26	U9678	N5005	 {land}
J4e28	U7387	N0319	 {ratio} {rate} {proportion} {%} {coefficient} {factor}
J4e29	U7acb	N3343	 {stand up}
J4e2e	U6d41	N2576	 {current} {a sink} {flow} {forfeit}
J4e32	U786b	N3191	 {sulphur}
J4e33	U7c92	N3471	 {grains} {drop} {counter for tiny particles}
J4e35	U7adc	N5440	 {dragon} {imperial}
J4e3e	U4e21	N0034	 {both} {old Japanese coin} {no. of vehicles} {two}
J4e41	U6599	N3468	 {fee} {materials}
J4e49	U826f	N3885	 {good} {pleasing} {skilled}
J4e4c	U91cf	N2141	 {quantity} {measure} {weight} {amount}
J4e4f	U529b	N0715	 {power} {strong} {strain} {bear up} {exert}
J4e53	U6797	N2210	 {grove} {forest}
J4e55	U71d0	N2807	 {phosphorus}
J4e58	U8f2a	N4630	 {wheel} {ring} {circle} {link} {loop}
J4e60	U985e	N5138	 {sort} {kind} {variety} {class} {genus}
J4e63	U4f8b	N0428	 {example} {custom} {usage} {precedent}
J4e64	U51b7	N0642	 {cool} {cold (beer, person)} {chill}
J4e6d	U96f6	N5048	 {zero} {spill} {overflow} {nothing} {cipher}
J4e6e	U970a	N5056	 {spirits} {soul}
J4e73	U5217	N2438	 {file} {row} {rank} {tier} {column}
J4f22	U9023	N4702	 {take along} {lead} {join} {connect} {party} {gang} {clique}
J4f27	U7089	N2750	 {hearth} {furnace} {kiln} {reactor}
J4f29	U8def	N4561	 {path} {route} {road} {distance}
J4f37	U8001	N3683	 {old man} {old age} {grow old}
J4f3b	U516d	N0283	 {six}
J4f40	U8ad6	N4391	 {argument} {discourse}
J4f42	U548c	N3268	 {harmony} {Japanese style} {peace} {soften} {Japan}
J4f43	U8a71	N4358	 {tale} {talk}
J4f44	U6b6a	N0054	 {warp} {bend} {strained} {distort}
J4f47	U60d1	N1710	 {beguile} {delusion} {perplexity}

Level 2 Kanji (total number: 7)
-------------------------------

JIS	Unicode	Nelson		Meaning(s)
---	------	------		----------

J534c	U55c5	N0973	 {smell} {sniff} {scent}
J5879	U6208	N1794	 {halberd} {arms} {festival car} {float}
J5960	U6369	N1942	 {screw} {twist} {wrench} {distort}
J626f	U787c	N3200	 {sound of stones struck together} {boron}
J6446	U7c60	N3458	 {basket} {devote onself} {seclude oneself} {cage} {coop} {implied}
J6647	U7fe1	N5083	 {kingfisher}
J6d55	U8f3b	N4633	 {spoke (wheel)}
